combo_index,h4_min_rsi_a,h4_overextension_mode,h4_min_bb_position_a,max_bars_in_trade,follow_through_bars,min_follow_through_pips,use_d1_filters,d1_min_rsi,d1_min_bb_position,d1_require_close_above_ubb,total_trades,wins,losses,win_rate_pct,net_pips,avg_pips_per_trade,profit_factor,max_drawdown_pips,expectancy_pips
55,55,close_above_ubb,85,10,2,3,FALSE,0,0,FALSE,744,363,381,48.79,1052,1.41,1.136,802.5,1.41
53,55,close_above_ubb,85,8,2,3,FALSE,0,0,FALSE,744,364,380,48.92,1014.4,1.36,1.132,793.3,1.36
56,55,close_above_ubb,85,10,2,5,FALSE,0,0,FALSE,746,360,386,48.26,956,1.28,1.126,830.4,1.28
54,55,close_above_ubb,85,8,2,5,FALSE,0,0,FALSE,746,361,385,48.39,952.5,1.28,1.126,830.4,1.28
1,55,touch_only,85,8,2,3,FALSE,0,0,FALSE,1475,703,772,47.66,1832.9,1.24,1.114,1357.3,1.24
3,55,touch_only,85,10,2,3,FALSE,0,0,FALSE,1475,700,775,47.46,1817,1.23,1.112,1373.5,1.23
2,55,touch_only,85,8,2,5,FALSE,0,0,FALSE,1486,698,788,46.97,1728.5,1.16,1.109,1424.8,1.16
4,55,touch_only,85,10,2,5,FALSE,0,0,FALSE,1486,696,790,46.84,1713.5,1.15,1.108,1425,1.15
263,60,close_above_ubb,85,10,2,3,FALSE,0,0,FALSE,675,326,349,48.3,736.5,1.09,1.104,725.2,1.09
261,60,close_above_ubb,85,8,2,3,FALSE,0,0,FALSE,675,327,348,48.44,733.2,1.09,1.104,727.7,1.09
262,60,close_above_ubb,85,8,2,5,FALSE,0,0,FALSE,677,324,353,47.86,677.3,1,1.098,751.4,1
159,58,close_above_ubb,85,10,2,3,FALSE,0,0,FALSE,715,344,371,48.11,708.9,0.99,1.094,805.6,0.99
264,60,close_above_ubb,85,10,2,5,FALSE,0,0,FALSE,677,323,354,47.71,646.5,0.95,1.094,751.4,0.95
157,58,close_above_ubb,85,8,2,3,FALSE,0,0,FALSE,715,345,370,48.25,671.3,0.94,1.09,805.3,0.94
160,58,close_above_ubb,85,10,2,5,FALSE,0,0,FALSE,717,341,376,47.56,609.9,0.85,1.083,831.8,0.85
209,60,touch_only,85,8,2,3,FALSE,0,0,FALSE,1196,565,631,47.24,1074.5,0.9,1.082,991.8,0.9
158,58,close_above_ubb,85,8,2,5,FALSE,0,0,FALSE,717,342,375,47.7,606.4,0.85,1.082,831.8,0.85
211,60,touch_only,85,10,2,3,FALSE,0,0,FALSE,1196,564,632,47.16,1049.8,0.88,1.08,1001,0.88
107,58,touch_only,85,10,2,3,FALSE,0,0,FALSE,1329,623,706,46.88,1165.1,0.88,1.079,1264.6,0.88
