combo_index,h4_min_rsi_a,h4_overextension_mode,h4_min_bb_position_a,max_bars_in_trade,follow_through_bars,min_follow_through_pips,use_d1_regime,d1_rsi_min,d1_rsi_max,d1_atr_min,d1_atr_max,d1_bbw_min,d1_bbw_max,d1_trend_min,d1_trend_max,total_trades,wins,losses,win_rate_pct,net_pips,avg_pips_per_trade,profit_factor,max_drawdown_pips,expectancy_pips
655,55.0,close_above_ubb,85.0,10,2,3.0,False,0.0,100.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,744,363,381,48.79,1052.0,1.41,1.136,802.5,1.41
437,55.0,close_above_ubb,85.0,8,2,3.0,False,0.0,100.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,744,364,380,48.92,1014.4,1.36,1.132,793.3,1.36
764,55.0,close_above_ubb,85.0,10,2,5.0,False,0.0,100.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,746,360,386,48.26,956.0,1.28,1.126,830.4,1.28
546,55.0,close_above_ubb,85.0,8,2,5.0,False,0.0,100.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,746,361,385,48.39,952.5,1.28,1.126,830.4,1.28
1500,58.0,close_above_ubb,85.0,8,2,5.0,True,50.0,60.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,165,80,85,48.48,202.9,1.23,1.123,351.7,1.23
1503,58.0,close_above_ubb,85.0,8,2,5.0,True,50.0,60.0,-1000000000.0,1000000000.0,0.0,20.0,-1000000000.0,1000000000.0,165,80,85,48.48,202.9,1.23,1.123,351.7,1.23
1506,58.0,close_above_ubb,85.0,8,2,5.0,True,50.0,60.0,-1000000000.0,1000000000.0,0.0,15.0,-1000000000.0,1000000000.0,165,80,85,48.48,202.9,1.23,1.123,351.7,1.23
1509,58.0,close_above_ubb,85.0,8,2,5.0,True,50.0,60.0,0.0,3.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,165,80,85,48.48,202.9,1.23,1.123,351.7,1.23
1512,58.0,close_above_ubb,85.0,8,2,5.0,True,50.0,60.0,0.0,3.0,0.0,20.0,-1000000000.0,1000000000.0,165,80,85,48.48,202.9,1.23,1.123,351.7,1.23
1515,58.0,close_above_ubb,85.0,8,2,5.0,True,50.0,60.0,0.0,3.0,0.0,15.0,-1000000000.0,1000000000.0,165,80,85,48.48,202.9,1.23,1.123,351.7,1.23
1518,58.0,close_above_ubb,85.0,8,2,5.0,True,50.0,60.0,0.0,2.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,165,80,85,48.48,202.9,1.23,1.123,351.7,1.23
1521,58.0,close_above_ubb,85.0,8,2,5.0,True,50.0,60.0,0.0,2.0,0.0,20.0,-1000000000.0,1000000000.0,165,80,85,48.48,202.9,1.23,1.123,351.7,1.23
1524,58.0,close_above_ubb,85.0,8,2,5.0,True,50.0,60.0,0.0,2.0,0.0,15.0,-1000000000.0,1000000000.0,165,80,85,48.48,202.9,1.23,1.123,351.7,1.23
1718,58.0,close_above_ubb,85.0,10,2,5.0,True,50.0,60.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,165,80,85,48.48,200.3,1.21,1.121,351.7,1.21
1721,58.0,close_above_ubb,85.0,10,2,5.0,True,50.0,60.0,-1000000000.0,1000000000.0,0.0,20.0,-1000000000.0,1000000000.0,165,80,85,48.48,200.3,1.21,1.121,351.7,1.21
1724,58.0,close_above_ubb,85.0,10,2,5.0,True,50.0,60.0,-1000000000.0,1000000000.0,0.0,15.0,-1000000000.0,1000000000.0,165,80,85,48.48,200.3,1.21,1.121,351.7,1.21
1727,58.0,close_above_ubb,85.0,10,2,5.0,True,50.0,60.0,0.0,3.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,165,80,85,48.48,200.3,1.21,1.121,351.7,1.21
1730,58.0,close_above_ubb,85.0,10,2,5.0,True,50.0,60.0,0.0,3.0,0.0,20.0,-1000000000.0,1000000000.0,165,80,85,48.48,200.3,1.21,1.121,351.7,1.21
1733,58.0,close_above_ubb,85.0,10,2,5.0,True,50.0,60.0,0.0,3.0,0.0,15.0,-1000000000.0,1000000000.0,165,80,85,48.48,200.3,1.21,1.121,351.7,1.21
1736,58.0,close_above_ubb,85.0,10,2,5.0,True,50.0,60.0,0.0,2.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,165,80,85,48.48,200.3,1.21,1.121,351.7,1.21
1739,58.0,close_above_ubb,85.0,10,2,5.0,True,50.0,60.0,0.0,2.0,0.0,20.0,-1000000000.0,1000000000.0,165,80,85,48.48,200.3,1.21,1.121,351.7,1.21
1742,58.0,close_above_ubb,85.0,10,2,5.0,True,50.0,60.0,0.0,2.0,0.0,15.0,-1000000000.0,1000000000.0,165,80,85,48.48,200.3,1.21,1.121,351.7,1.21
1,55.0,touch_only,85.0,8,2,3.0,False,0.0,100.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,1475,703,772,47.66,1832.9,1.24,1.114,1357.3,1.24
219,55.0,touch_only,85.0,10,2,3.0,False,0.0,100.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,1475,700,775,47.46,1817.0,1.23,1.112,1373.5,1.23
110,55.0,touch_only,85.0,8,2,5.0,False,0.0,100.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,1486,698,788,46.97,1728.5,1.16,1.109,1424.8,1.16
328,55.0,touch_only,85.0,10,2,5.0,False,0.0,100.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,1486,696,790,46.84,1713.5,1.15,1.108,1425.0,1.15
1527,58.0,close_above_ubb,85.0,10,2,3.0,False,0.0,100.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,715,344,371,48.11,708.9,0.99,1.094,805.6,0.99
1309,58.0,close_above_ubb,85.0,8,2,3.0,False,0.0,100.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,715,345,370,48.25,671.3,0.94,1.09,805.3,0.94
628,55.0,close_above_ubb,85.0,8,2,5.0,True,50.0,60.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,169,81,88,47.93,144.6,0.86,1.085,404.3,0.86
631,55.0,close_above_ubb,85.0,8,2,5.0,True,50.0,60.0,-1000000000.0,1000000000.0,0.0,20.0,-1000000000.0,1000000000.0,169,81,88,47.93,144.6,0.86,1.085,404.3,0.86
634,55.0,close_above_ubb,85.0,8,2,5.0,True,50.0,60.0,-1000000000.0,1000000000.0,0.0,15.0,-1000000000.0,1000000000.0,169,81,88,47.93,144.6,0.86,1.085,404.3,0.86
637,55.0,close_above_ubb,85.0,8,2,5.0,True,50.0,60.0,0.0,3.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,169,81,88,47.93,144.6,0.86,1.085,404.3,0.86
640,55.0,close_above_ubb,85.0,8,2,5.0,True,50.0,60.0,0.0,3.0,0.0,20.0,-1000000000.0,1000000000.0,169,81,88,47.93,144.6,0.86,1.085,404.3,0.86
643,55.0,close_above_ubb,85.0,8,2,5.0,True,50.0,60.0,0.0,3.0,0.0,15.0,-1000000000.0,1000000000.0,169,81,88,47.93,144.6,0.86,1.085,404.3,0.86
646,55.0,close_above_ubb,85.0,8,2,5.0,True,50.0,60.0,0.0,2.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,169,81,88,47.93,144.6,0.86,1.085,404.3,0.86
649,55.0,close_above_ubb,85.0,8,2,5.0,True,50.0,60.0,0.0,2.0,0.0,20.0,-1000000000.0,1000000000.0,169,81,88,47.93,144.6,0.86,1.085,404.3,0.86
652,55.0,close_above_ubb,85.0,8,2,5.0,True,50.0,60.0,0.0,2.0,0.0,15.0,-1000000000.0,1000000000.0,169,81,88,47.93,144.6,0.86,1.085,404.3,0.86
1636,58.0,close_above_ubb,85.0,10,2,5.0,False,0.0,100.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,717,341,376,47.56,609.9,0.85,1.083,831.8,0.85
846,55.0,close_above_ubb,85.0,10,2,5.0,True,50.0,60.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,169,81,88,47.93,142.0,0.84,1.083,406.9,0.84
849,55.0,close_above_ubb,85.0,10,2,5.0,True,50.0,60.0,-1000000000.0,1000000000.0,0.0,20.0,-1000000000.0,1000000000.0,169,81,88,47.93,142.0,0.84,1.083,406.9,0.84
852,55.0,close_above_ubb,85.0,10,2,5.0,True,50.0,60.0,-1000000000.0,1000000000.0,0.0,15.0,-1000000000.0,1000000000.0,169,81,88,47.93,142.0,0.84,1.083,406.9,0.84
855,55.0,close_above_ubb,85.0,10,2,5.0,True,50.0,60.0,0.0,3.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,169,81,88,47.93,142.0,0.84,1.083,406.9,0.84
858,55.0,close_above_ubb,85.0,10,2,5.0,True,50.0,60.0,0.0,3.0,0.0,20.0,-1000000000.0,1000000000.0,169,81,88,47.93,142.0,0.84,1.083,406.9,0.84
861,55.0,close_above_ubb,85.0,10,2,5.0,True,50.0,60.0,0.0,3.0,0.0,15.0,-1000000000.0,1000000000.0,169,81,88,47.93,142.0,0.84,1.083,406.9,0.84
864,55.0,close_above_ubb,85.0,10,2,5.0,True,50.0,60.0,0.0,2.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,169,81,88,47.93,142.0,0.84,1.083,406.9,0.84
867,55.0,close_above_ubb,85.0,10,2,5.0,True,50.0,60.0,0.0,2.0,0.0,20.0,-1000000000.0,1000000000.0,169,81,88,47.93,142.0,0.84,1.083,406.9,0.84
870,55.0,close_above_ubb,85.0,10,2,5.0,True,50.0,60.0,0.0,2.0,0.0,15.0,-1000000000.0,1000000000.0,169,81,88,47.93,142.0,0.84,1.083,406.9,0.84
1418,58.0,close_above_ubb,85.0,8,2,5.0,False,0.0,100.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,717,342,375,47.7,606.4,0.85,1.082,831.8,0.85
1091,58.0,touch_only,85.0,10,2,3.0,False,0.0,100.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,1329,623,706,46.88,1165.1,0.88,1.079,1264.6,0.88
873,58.0,touch_only,85.0,8,2,3.0,False,0.0,100.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,1329,625,704,47.03,1162.5,0.87,1.079,1248.4,0.87
1200,58.0,touch_only,85.0,10,2,5.0,False,0.0,100.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,1339,621,718,46.38,1093.2,0.82,1.076,1278.0,0.82
982,58.0,touch_only,85.0,8,2,5.0,False,0.0,100.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,1339,622,717,46.45,1089.7,0.81,1.075,1277.8,0.81
1391,58.0,close_above_ubb,85.0,8,2,3.0,True,50.0,60.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,165,79,86,47.88,116.7,0.71,1.067,428.7,0.71
1394,58.0,close_above_ubb,85.0,8,2,3.0,True,50.0,60.0,-1000000000.0,1000000000.0,0.0,20.0,-1000000000.0,1000000000.0,165,79,86,47.88,116.7,0.71,1.067,428.7,0.71
1397,58.0,close_above_ubb,85.0,8,2,3.0,True,50.0,60.0,-1000000000.0,1000000000.0,0.0,15.0,-1000000000.0,1000000000.0,165,79,86,47.88,116.7,0.71,1.067,428.7,0.71
1400,58.0,close_above_ubb,85.0,8,2,3.0,True,50.0,60.0,0.0,3.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,165,79,86,47.88,116.7,0.71,1.067,428.7,0.71
1403,58.0,close_above_ubb,85.0,8,2,3.0,True,50.0,60.0,0.0,3.0,0.0,20.0,-1000000000.0,1000000000.0,165,79,86,47.88,116.7,0.71,1.067,428.7,0.71
1406,58.0,close_above_ubb,85.0,8,2,3.0,True,50.0,60.0,0.0,3.0,0.0,15.0,-1000000000.0,1000000000.0,165,79,86,47.88,116.7,0.71,1.067,428.7,0.71
1409,58.0,close_above_ubb,85.0,8,2,3.0,True,50.0,60.0,0.0,2.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,165,79,86,47.88,116.7,0.71,1.067,428.7,0.71
1412,58.0,close_above_ubb,85.0,8,2,3.0,True,50.0,60.0,0.0,2.0,0.0,20.0,-1000000000.0,1000000000.0,165,79,86,47.88,116.7,0.71,1.067,428.7,0.71
1415,58.0,close_above_ubb,85.0,8,2,3.0,True,50.0,60.0,0.0,2.0,0.0,15.0,-1000000000.0,1000000000.0,165,79,86,47.88,116.7,0.71,1.067,428.7,0.71
1609,58.0,close_above_ubb,85.0,10,2,3.0,True,50.0,60.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,165,79,86,47.88,114.1,0.69,1.065,431.3,0.69
1612,58.0,close_above_ubb,85.0,10,2,3.0,True,50.0,60.0,-1000000000.0,1000000000.0,0.0,20.0,-1000000000.0,1000000000.0,165,79,86,47.88,114.1,0.69,1.065,431.3,0.69
1615,58.0,close_above_ubb,85.0,10,2,3.0,True,50.0,60.0,-1000000000.0,1000000000.0,0.0,15.0,-1000000000.0,1000000000.0,165,79,86,47.88,114.1,0.69,1.065,431.3,0.69
1618,58.0,close_above_ubb,85.0,10,2,3.0,True,50.0,60.0,0.0,3.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,165,79,86,47.88,114.1,0.69,1.065,431.3,0.69
1621,58.0,close_above_ubb,85.0,10,2,3.0,True,50.0,60.0,0.0,3.0,0.0,20.0,-1000000000.0,1000000000.0,165,79,86,47.88,114.1,0.69,1.065,431.3,0.69
1624,58.0,close_above_ubb,85.0,10,2,3.0,True,50.0,60.0,0.0,3.0,0.0,15.0,-1000000000.0,1000000000.0,165,79,86,47.88,114.1,0.69,1.065,431.3,0.69
1627,58.0,close_above_ubb,85.0,10,2,3.0,True,50.0,60.0,0.0,2.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,165,79,86,47.88,114.1,0.69,1.065,431.3,0.69
1630,58.0,close_above_ubb,85.0,10,2,3.0,True,50.0,60.0,0.0,2.0,0.0,20.0,-1000000000.0,1000000000.0,165,79,86,47.88,114.1,0.69,1.065,431.3,0.69
1633,58.0,close_above_ubb,85.0,10,2,3.0,True,50.0,60.0,0.0,2.0,0.0,15.0,-1000000000.0,1000000000.0,165,79,86,47.88,114.1,0.69,1.065,431.3,0.69
139,55.0,touch_only,85.0,8,2,5.0,True,45.0,65.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,0.0,25.0,391,178,213,45.52,225.9,0.58,1.055,617.4,0.58
