combo_index,min_rsi_a,require_close_above_ubb,min_bb_touch_strength_a,min_candle_rejection_b,min_volume_ratio_a,max_bars_in_trade,follow_through_bars,min_follow_through_pips,total_trades,wins,losses,win_rate_pct,net_pips,avg_pips_per_trade,profit_factor,max_drawdown_pips,expectancy_pips
2,60.0,True,0.0,0.0,0.0,8,2,5.0,25,16,9,64.0,221.8,8.87,2.402,63.0,8.87
34,60.0,True,0.2,0.0,0.0,8,2,5.0,25,16,9,64.0,221.8,8.87,2.402,63.0,8.87
66,60.0,True,0.4,0.0,0.0,8,2,5.0,25,16,9,64.0,221.8,8.87,2.402,63.0,8.87
98,60.0,True,0.6,0.0,0.0,8,2,5.0,25,16,9,64.0,221.8,8.87,2.402,63.0,8.87
130,65.0,True,0.0,0.0,0.0,8,2,5.0,19,12,7,63.16,167.0,8.79,2.358,63.0,8.79
162,65.0,True,0.2,0.0,0.0,8,2,5.0,19,12,7,63.16,167.0,8.79,2.358,63.0,8.79
194,65.0,True,0.4,0.0,0.0,8,2,5.0,19,12,7,63.16,167.0,8.79,2.358,63.0,8.79
226,65.0,True,0.6,0.0,0.0,8,2,5.0,19,12,7,63.16,167.0,8.79,2.358,63.0,8.79
129,65.0,False,0.0,0.0,0.0,8,2,5.0,27,15,12,55.56,137.0,5.07,1.749,113.0,5.07
161,65.0,False,0.2,0.0,0.0,8,2,5.0,27,15,12,55.56,137.0,5.07,1.749,113.0,5.07
193,65.0,False,0.4,0.0,0.0,8,2,5.0,27,15,12,55.56,137.0,5.07,1.749,113.0,5.07
225,65.0,False,0.6,0.0,0.0,8,2,5.0,27,15,12,55.56,137.0,5.07,1.749,113.0,5.07
1,60.0,False,0.0,0.0,0.0,8,2,5.0,41,23,18,56.1,204.3,4.98,1.715,133.0,4.98
33,60.0,False,0.2,0.0,0.0,8,2,5.0,41,23,18,56.1,204.3,4.98,1.715,133.0,4.98
65,60.0,False,0.4,0.0,0.0,8,2,5.0,41,23,18,56.1,204.3,4.98,1.715,133.0,4.98
97,60.0,False,0.6,0.0,0.0,8,2,5.0,41,23,18,56.1,204.3,4.98,1.715,133.0,4.98
257,70.0,False,0.0,0.0,0.0,8,2,5.0,15,8,7,53.33,57.0,3.8,1.613,33.0,3.8
289,70.0,False,0.2,0.0,0.0,8,2,5.0,15,8,7,53.33,57.0,3.8,1.613,33.0,3.8
321,70.0,False,0.4,0.0,0.0,8,2,5.0,15,8,7,53.33,57.0,3.8,1.613,33.0,3.8
353,70.0,False,0.6,0.0,0.0,8,2,5.0,15,8,7,53.33,57.0,3.8,1.613,33.0,3.8
258,70.0,True,0.0,0.0,0.0,8,2,5.0,12,7,5,58.33,47.0,3.92,1.505,43.0,3.92
290,70.0,True,0.2,0.0,0.0,8,2,5.0,12,7,5,58.33,47.0,3.92,1.505,43.0,3.92
322,70.0,True,0.4,0.0,0.0,8,2,5.0,12,7,5,58.33,47.0,3.92,1.505,43.0,3.92
354,70.0,True,0.6,0.0,0.0,8,2,5.0,12,7,5,58.33,47.0,3.92,1.505,43.0,3.92
6,60.0,True,0.0,0.0,1.2,8,2,5.0,7,4,3,57.14,20.0,2.86,1.222,30.0,2.86
38,60.0,True,0.2,0.0,1.2,8,2,5.0,7,4,3,57.14,20.0,2.86,1.222,30.0,2.86
70,60.0,True,0.4,0.0,1.2,8,2,5.0,7,4,3,57.14,20.0,2.86,1.222,30.0,2.86
102,60.0,True,0.6,0.0,1.2,8,2,5.0,7,4,3,57.14,20.0,2.86,1.222,30.0,2.86
