combo_index,min_rsi_a,overextension_mode,min_bb_position_a,max_bars_in_trade,follow_through_bars,min_follow_through_pips,total_trades,wins,losses,win_rate_pct,net_pips,avg_pips_per_trade,profit_factor,max_drawdown_pips,expectancy_pips
61,55.0,close_above_ubb,85.0,10,2,3.0,744,363,381,48.79,1052.0,1.41,1.136,802.5,1.41
70,55.0,close_above_ubb,90.0,10,2,3.0,744,363,381,48.79,1052.0,1.41,1.136,802.5,1.41
79,55.0,close_above_ubb,95.0,10,2,3.0,744,363,381,48.79,1052.0,1.41,1.136,802.5,1.41
58,55.0,close_above_ubb,85.0,8,2,3.0,744,364,380,48.92,1014.4,1.36,1.132,793.3,1.36
67,55.0,close_above_ubb,90.0,8,2,3.0,744,364,380,48.92,1014.4,1.36,1.132,793.3,1.36
76,55.0,close_above_ubb,95.0,8,2,3.0,744,364,380,48.92,1014.4,1.36,1.132,793.3,1.36
63,55.0,close_above_ubb,85.0,10,2,8.0,749,361,388,48.2,962.0,1.28,1.132,833.0,1.28
72,55.0,close_above_ubb,90.0,10,2,8.0,749,361,388,48.2,962.0,1.28,1.132,833.0,1.28
81,55.0,close_above_ubb,95.0,10,2,8.0,749,361,388,48.2,962.0,1.28,1.132,833.0,1.28
60,55.0,close_above_ubb,85.0,8,2,8.0,749,362,387,48.33,958.5,1.28,1.132,833.0,1.28
69,55.0,close_above_ubb,90.0,8,2,8.0,749,362,387,48.33,958.5,1.28,1.132,833.0,1.28
78,55.0,close_above_ubb,95.0,8,2,8.0,749,362,387,48.33,958.5,1.28,1.132,833.0,1.28
55,55.0,close_above_ubb,85.0,6,2,3.0,744,361,383,48.52,1002.8,1.35,1.13,775.5,1.35
64,55.0,close_above_ubb,90.0,6,2,3.0,744,361,383,48.52,1002.8,1.35,1.13,775.5,1.35
73,55.0,close_above_ubb,95.0,6,2,3.0,744,361,383,48.52,1002.8,1.35,1.13,775.5,1.35
57,55.0,close_above_ubb,85.0,6,2,8.0,749,359,390,47.93,940.0,1.26,1.129,812.2,1.26
66,55.0,close_above_ubb,90.0,6,2,8.0,749,359,390,47.93,940.0,1.26,1.129,812.2,1.26
75,55.0,close_above_ubb,95.0,6,2,8.0,749,359,390,47.93,940.0,1.26,1.129,812.2,1.26
6,55.0,touch_only,85.0,8,2,8.0,1492,701,791,46.98,1937.4,1.3,1.127,1365.2,1.3
