signal_index,signal_time,entry_price,session,a_open,a_high,a_low,a_close,a_bb_touch_strength,a_bb_position,a_bb_width_pct,a_rsi_value,a_rsi_divergence,a_volume_ratio,a_candle_rejection,a_candle_body_pct,a_atr_pct,a_trend_strength,a_prev_candle_body_pct,a_prev_volume_ratio,a_gap_from_prev_close,a_price_momentum,a_prev_was_selloff,a_previous_touches,a_time_since_last_touch,a_support_distance_pct,b_open,b_high,b_low,b_close,b_bb_touch_strength,b_bb_position,b_bb_width_pct,b_rsi_value,b_rsi_divergence,b_volume_ratio,b_candle_rejection,b_candle_body_pct,b_atr_pct,b_trend_strength,b_prev_candle_body_pct,b_prev_volume_ratio,b_gap_from_prev_close,b_price_momentum,b_prev_was_selloff,b_previous_touches,b_time_since_last_touch,b_support_distance_pct,c_open,c_high,c_low,c_close,c_bb_touch_strength,c_bb_position,c_bb_width_pct,c_rsi_value,c_rsi_divergence,c_volume_ratio,c_candle_rejection,c_candle_body_pct,c_atr_pct,c_trend_strength,c_prev_candle_body_pct,c_prev_volume_ratio,c_gap_from_prev_close,c_price_momentum,c_prev_was_selloff,c_previous_touches,c_time_since_last_touch,c_support_distance_pct,exit_index,final_pnl_pips,hit_tp_first,hit_sl_first,is_profitable
32,2000-01-21 04:00:00,1.0167,3,1.0168,1.0188,1.0154,1.0169,1.00749,1.029718,0.868139,55.032419,0,0.905447,-14.0,0.009834,0.387563,0.276478,0.698406,1.381579,0.019673,0.754118,0,2,2,0.0,1.0168,1.0178,1.0159,1.0167,1.008016,0.938796,0.934047,54.567493,0,0.568123,-8.0,-0.009836,0.3733,0.262073,0.009834,0.905447,-0.009834,0.049242,0,2,3,0.0,1.0167,1.0193,1.0152,1.018,1.007589,0.988083,1.043794,57.104241,0,1.117612,-1.153846,0.127701,0.374961,0.247937,-0.009836,0.568123,0.0,-0.068904,0,2,4,0.0,34,10.0,0,1,1
248,2000-03-10 00:00:00,0.9669,3,0.9625,0.9698,0.962,0.9676,1.008298,1.182177,1.191288,59.176315,0,1.154753,-0.098039,0.527077,0.532291,-1.688921,0.176568,1.355042,-0.031159,0.156169,0,4,6,0.0,0.9671,0.9689,0.9656,0.9668,1.01257,1.022712,1.34307,57.641486,0,0.717996,-4.0,-0.03103,0.51906,-1.68013,0.527077,1.154753,-0.051674,0.37422,0,4,7,0.0,0.9669,0.9678,0.9658,0.9672,1.012996,0.97176,1.477507,58.22491,0,0.64184,-3.666667,0.031017,0.496555,-1.668269,-0.03103,0.717996,0.010343,0.020713,0,4,8,0.0,251,10.0,0,1,1
259,2000-03-13 16:00:00,0.9718,1,0.965,0.973,0.9645,0.9721,1.008466,1.07195,1.519405,64.374876,0,1.331509,-0.070423,0.730378,0.45732,-1.555756,0.134701,0.644925,-0.010362,0.124572,0,2,17,0.0,0.9717,0.9723,0.968,0.9716,1.011982,0.965946,1.616859,63.232057,0,1.386465,-36.0,-0.010292,0.456484,-1.530774,0.730378,1.331509,-0.041148,0.362882,0,2,18,0.0,0.9718,0.9724,0.9617,0.9631,1.003634,0.373991,1.35317,47.722002,0,1.349991,-0.16092,-0.903333,0.506976,-1.550877,-0.010292,1.386465,0.020585,-0.650826,0,1,19,0.0,259,40.0,1,0,1
287,2000-03-20 04:00:00,0.972,3,0.9721,0.9732,0.972,0.9729,1.007309,1.068179,0.768563,61.849255,0,0.046061,-0.125,0.082228,0.394888,-1.187172,0.102891,0.743865,0.020578,0.16488,0,0,20,0.0,0.9725,0.9727,0.9705,0.9719,1.005843,0.88465,0.821113,58.95896,0,0.42097,-2.333333,-0.061735,0.384697,-1.160665,0.082228,0.046061,-0.041114,-0.154321,0,0,21,0.0,0.972,0.9729,0.9714,0.9721,1.006595,0.865867,0.841871,59.36793,0,0.597797,-6.0,0.010287,0.368167,-1.131365,-0.061735,0.42097,0.010289,0.092736,0,0,22,0.0,290,10.0,0,1,1
534,2000-05-15 00:00:00,0.9179,3,0.9109,0.9201,0.9105,0.9197,1.014352,1.238833,1.966335,69.945381,0,0.803101,-0.045455,0.956834,0.581621,-3.582527,0.790427,1.19853,0.0,0.808237,0,0,40,0.0,0.9195,0.9199,0.9185,0.9185,1.024179,1.050152,2.276257,67.747852,0,0.023156,0.0,-0.108873,0.551669,-3.549973,0.956834,0.803101,-0.021746,0.878638,0,0,41,0.0,0.9179,0.919,0.9173,0.9176,1.023371,0.941151,2.487473,66.071234,0,0.190557,-1.0,-0.032694,0.526,-3.515748,-0.108873,0.023156,-0.065324,-0.130648,0,0,42,0.0,536,40.0,1,0,1
535,2000-05-15 04:00:00,0.9178,3,0.9195,0.9199,0.9185,0.9185,1.024179,1.050152,2.276257,67.747852,0,0.023156,0.0,-0.108873,0.551669,-3.549973,0.956834,0.803101,-0.021746,0.878638,0,0,41,0.0,0.9179,0.919,0.9173,0.9176,1.023371,0.941151,2.487473,66.071234,0,0.190557,-1.0,-0.032694,0.526,-3.515748,-0.108873,0.023156,-0.065324,-0.130648,0,0,42,0.0,0.9178,0.9188,0.917,0.9182,1.023432,0.910732,2.68348,66.663547,0,0.317887,-2.0,0.043563,0.502112,-3.474951,-0.032694,0.190557,0.021796,-0.032705,0,0,43,0.0,537,20.0,0,1,1
576,2000-05-23 20:00:00,0.9044,2,0.9115,0.9156,0.9083,0.9117,1.024243,1.040154,2.663375,69.426824,0,1.702837,-16.0,0.021937,0.526467,-2.140397,0.833333,1.480368,-0.054825,0.509018,0,1,13,0.0,0.9119,0.9124,0.9025,0.9043,1.016949,0.708722,2.642342,54.386592,0,1.377672,-0.236842,-0.840429,0.57106,-2.123189,0.021937,1.702837,0.021937,-0.638556,0,1,14,0.0,0.9044,0.9072,0.9018,0.9071,1.01547,0.794706,2.66167,58.08651,0,0.878257,-0.962963,0.297652,0.571155,-2.075956,-0.840429,1.377672,0.011058,-0.077562,0,1,15,0.0,577,10.0,0,1,1
596,2000-05-29 00:00:00,0.9328,3,0.9312,0.9336,0.9311,0.9325,1.04166,1.170268,3.626726,78.42538,0,0.073691,-0.076923,0.13941,0.615269,-1.533727,1.718029,1.56915,-0.010738,1.982475,0,1,8,0.0,0.9315,0.9315,0.9315,0.9315,1.042996,1.030615,4.086592,76.459345,0,0.000963,0.0,0.0,0.579603,-1.456683,0.13941,0.073691,-0.107239,0.04296,0,1,9,0.0,0.9328,0.9335,0.9299,0.9324,1.041955,0.972414,4.499063,77.017756,0,0.487565,-6.25,-0.0429,0.565262,-1.372855,0.0,0.000963,0.13956,-0.171766,0,1,10,0.0,597,10.0,0,1,1
646,2000-06-08 04:00:00,0.9596,3,0.9608,0.9626,0.9602,0.9622,1.022634,1.012089,2.417263,75.978227,0,0.789167,-0.428571,0.1455,0.483501,2.553523,0.697045,1.513235,-0.041615,0.607712,0,0,58,0.0,0.9623,0.9626,0.958,0.9595,1.020053,0.851251,2.511385,69.189091,0,0.604291,-0.535714,-0.291819,0.484473,2.609067,0.1455,0.789167,0.010393,-0.229119,0,0,59,0.0,0.9596,0.96,0.9585,0.9592,1.020112,0.804661,2.55888,68.457133,0,0.724372,-1.75,-0.041701,0.461178,2.654608,-0.291819,0.604291,0.010422,0.052192,0,0,60,0.0,648,20.0,0,1,1
733,2000-06-28 04:00:00,0.9453,3,0.9435,0.9471,0.9416,0.9461,1.010955,1.147148,1.366786,58.604639,0,0.865833,-0.730769,0.274812,0.454484,1.460839,0.423953,1.422637,0.0,0.437333,0,2,9,0.0,0.9459,0.9462,0.945,0.9452,1.0148,0.988574,1.507339,56.748645,0,0.441326,-0.285714,-0.074058,0.431491,1.430755,0.274812,0.865833,-0.021139,0.361088,0,1,10,0.0,0.9453,0.9458,0.9446,0.9453,1.014589,0.930161,1.635752,56.911929,0,0.547697,0.0,0.0,0.409695,1.39781,-0.074058,0.441326,0.01058,-0.042328,0,1,11,0.0,735,10.0,0,1,1
