candidate_mode,signal_index,signal_time,entry_price,a_timestamp,b_timestamp,c_timestamp,session,pair,a_open,a_high,a_low,a_close,a_volume,a_bb_touch_strength,a_bb_position,a_bb_width_pct,a_rsi_value,a_rsi_divergence,a_volume_ratio,a_candle_rejection,a_candle_body_pct,a_atr_pct,a_trend_strength,a_prev_candle_body_pct,a_prev_volume_ratio,a_gap_from_prev_close,a_price_momentum,a_prev_was_selloff,a_previous_touches,a_time_since_last_touch,a_support_distance_pct,b_open,b_high,b_low,b_close,b_volume,b_bb_touch_strength,b_bb_position,b_bb_width_pct,b_rsi_value,b_rsi_divergence,b_volume_ratio,b_candle_rejection,b_candle_body_pct,b_atr_pct,b_trend_strength,b_prev_candle_body_pct,b_prev_volume_ratio,b_gap_from_prev_close,b_price_momentum,b_prev_was_selloff,b_previous_touches,b_time_since_last_touch,b_support_distance_pct,c_open,c_high,c_low,c_close,c_volume,c_bb_touch_strength,c_bb_position,c_bb_width_pct,c_rsi_value,c_rsi_divergence,c_volume_ratio,c_candle_rejection,c_candle_body_pct,c_atr_pct,c_trend_strength,c_prev_candle_body_pct,c_prev_volume_ratio,c_gap_from_prev_close,c_price_momentum,c_prev_was_selloff,c_previous_touches,c_time_since_last_touch,c_support_distance_pct,a_bb_event_type,a_bb_event_strength,a_close_above_ubb,a_high_touch_ubb,a_near_upper_bb,a_no_upper_wick_bear_reject,a_failed_break_ubb,a_ubb_distance_close,a_ubb_distance_high,a_upper_wick_size,a_upper_wick_pct,exit_index,final_pnl_pips,hit_tp_first,hit_sl_first,is_profitable
broad_v3,32,2000-01-21 04:00:00,1.0167,2000-01-20 20:00:00,2000-01-21 00:00:00,2000-01-21 04:00:00,3,EURUSD,1.0168,1.0188,1.0154,1.0169,994,1.00749,1.029718,0.868139,55.032419,0,0.905447,-14.0,0.009834,0.387563,0.276478,0.698406,1.381579,0.019673,0.754118,0,2,2,0.0,1.0168,1.0178,1.0159,1.0167,599,1.008016,0.938796,0.934047,54.567493,0,0.568123,-8.0,-0.009836,0.3733,0.262073,0.009834,0.905447,-0.009834,0.049242,0,2,3,0.0,1.0167,1.0193,1.0152,1.018,1213,1.007589,0.988083,1.043794,57.104241,0,1.117612,-1.153846,0.127701,0.374961,0.247937,-0.009836,0.568123,0.0,-0.068904,0,2,4,0.0,close_above_ubb,1.0,1,1,1,0,0,-0.0002609999999998447,-0.0021609999999998575,0.0019000000000000128,0.5588235294117935,34,10.0,0,1,1
broad_v3,34,2000-01-21 12:00:00,1.0149,2000-01-21 04:00:00,2000-01-21 08:00:00,2000-01-21 12:00:00,1,EURUSD,1.0167,1.0193,1.0152,1.018,1213,1.007589,0.988083,1.043794,57.104241,0,1.117612,-1.153846,0.127701,0.374961,0.247937,-0.009836,0.568123,0.0,-0.068904,0,2,4,0.0,1.0183,1.0192,1.0142,1.015,2051,1.006393,0.684882,1.043812,50.14586,0,1.766048,-0.242424,-0.325123,0.384393,0.230739,0.127701,1.117612,0.02947,-0.098503,0,2,5,0.0,1.0149,1.0158,1.0087,1.0097,1683,1.001152,0.198913,1.072159,40.708258,0,1.391082,-0.192308,-0.515004,0.409037,0.200258,-0.325123,1.766048,-0.009852,-0.542299,1,2,6,0.0,high_touch_ubb,0.8,0,1,1,0,1,0.0001260000000000705,-0.0011740000000000084,0.0013000000000000789,0.31707317073172714,34,40.0,1,0,1
broad_v3,35,2000-01-21 16:00:00,1.0097,2000-01-21 08:00:00,2000-01-21 12:00:00,2000-01-21 16:00:00,1,EURUSD,1.0183,1.0192,1.0142,1.015,2051,1.006393,0.684882,1.043812,50.14586,0,1.766048,-0.242424,-0.325123,0.384393,0.230739,0.127701,1.117612,0.02947,-0.098503,0,2,5,0.0,1.0149,1.0158,1.0087,1.0097,1683,1.001152,0.198913,1.072159,40.708258,0,1.391082,-0.192308,-0.515004,0.409037,0.200258,-0.325123,1.766048,-0.009852,-0.542299,1,2,6,0.0,1.0097,1.0102,1.005,1.0092,1637,0.997739,0.171428,1.107252,39.944488,0,1.355862,-8.4,-0.049544,0.416813,0.172067,-0.515004,1.391082,0.0,-0.366809,0,3,0,0.0,high_touch_ubb,0.8,0,1,0,0,1,0.0033320000000001126,-0.0008680000000000909,0.0009000000000001229,0.18000000000002042,35,40.0,1,0,1
broad_v3,94,2000-02-04 04:00:00,0.9899,2000-02-03 20:00:00,2000-02-04 00:00:00,2000-02-04 04:00:00,3,EURUSD,0.9891,0.9913,0.9881,0.9904,975,1.026036,1.217864,2.307011,67.425769,0,0.835726,-0.769231,0.13126,0.572599,-2.376918,1.415142,1.582955,-0.020216,1.458055,0,0,25,0.0,0.9904,0.9915,0.9888,0.9898,578,1.027706,1.061121,2.672739,66.186114,0,0.512411,-1.666667,-0.060618,0.551506,-2.403263,0.13126,0.835726,0.0,0.070843,0,0,26,0.0,0.9899,0.9905,0.9883,0.9898,577,1.027551,0.977352,2.934831,66.186114,0,0.518209,-15.0,-0.010103,0.527989,-2.427561,-0.060618,0.512411,0.010103,-0.050566,0,0,27,0.0,close_above_ubb,1.0,1,1,1,0,0,-0.004896999999999929,-0.005796999999999941,0.0009000000000000119,0.28125000000000544,95,0.0,0,1,0
broad_v3,97,2000-02-04 16:00:00,0.9812,2000-02-04 08:00:00,2000-02-04 12:00:00,2000-02-04 16:00:00,1,EURUSD,0.9897,0.994,0.9872,0.9917,1987,1.026664,0.965429,3.194785,68.324888,0,1.669888,-1.25,0.201674,0.538314,-2.448926,-0.010103,0.518209,-0.010103,-0.111302,0,0,28,0.0,0.9919,0.992,0.9785,0.9812,1901,1.016834,0.613641,3.150118,49.639019,0,1.505027,-0.252336,-1.090501,0.603489,-2.508816,0.201674,1.669888,0.020167,-0.88128,0,0,29,0.0,0.9812,0.982,0.9747,0.9776,1666,1.012005,0.483453,3.058435,45.086242,0,1.312224,-0.805556,-0.368249,0.615783,-2.551453,-1.090501,1.505027,0.0,-0.38835,1,0,30,0.0,high_touch_ubb,0.8,0,1,1,0,1,0.0010789999999999411,-0.0012210000000000276,0.0022999999999999687,0.3382352941176411,97,40.0,1,0,1
broad_v3,117,2000-02-09 20:00:00,0.9923,2000-02-09 12:00:00,2000-02-09 16:00:00,2000-02-09 20:00:00,2,EURUSD,0.9897,0.9937,0.9883,0.9928,2117,1.013215,1.050733,1.682516,64.793831,0,1.950703,-0.451613,0.312248,0.487708,-2.708149,0.13134,1.552723,-0.010103,0.172309,0,0,48,0.0,0.9927,0.9971,0.9886,0.9923,1714,1.013691,0.948172,1.827214,63.68571,0,1.593085,-9.25,-0.04031,0.514286,-2.666129,0.312248,1.950703,-0.010073,0.030355,0,0,49,0.0,0.9923,0.9945,0.9909,0.9943,868,1.015667,0.98758,1.920665,66.177459,0,0.837838,-0.7,0.201147,0.502452,-2.612039,-0.04031,1.593085,0.0,0.232652,0,0,50,0.0,close_above_ubb,1.0,1,1,1,0,0,-0.0008400000000000629,-0.0017400000000000748,0.0009000000000000119,0.16666666666666666,119,-30.0,0,1,0
broad_v3,119,2000-02-10 04:00:00,0.9929,2000-02-09 20:00:00,2000-02-10 00:00:00,2000-02-10 04:00:00,3,EURUSD,0.9923,0.9945,0.9909,0.9943,868,1.015667,0.98758,1.920665,66.177459,0,0.837838,-0.7,0.201147,0.502452,-2.612039,-0.04031,1.593085,0.0,0.232652,0,0,50,0.0,0.9943,0.9944,0.9922,0.9929,537,1.017062,0.866828,2.030253,62.922715,0,0.523698,-0.5,-0.141001,0.483047,-2.568738,0.201147,0.837838,0.0,0.131194,0,0,51,0.0,0.9929,0.9962,0.9925,0.9953,655,1.017642,0.923566,2.196613,66.009017,0,0.621265,-0.166667,0.241133,0.474015,-2.519994,-0.141001,0.523698,0.0,0.030236,0,0,52,0.0,near_upper_bb_fail_break,0.6,0,0,1,0,0,0.00023499999999998522,3.4999999999896225e-05,0.000200000000000089,0.05555555555557954,119,-30.0,0,1,0
broad_v3,153,2000-02-17 16:00:00,0.99,2000-02-17 08:00:00,2000-02-17 12:00:00,2000-02-17 16:00:00,1,EURUSD,0.9862,0.993,0.9851,0.9918,1395,1.009759,1.046407,1.576406,64.270312,0,1.384684,-0.196429,0.56463,0.401047,-1.685673,0.040556,0.514668,-0.010139,0.020307,0,3,11,0.0,0.9916,0.9958,0.9898,0.9898,1764,1.014776,0.894382,1.638509,59.621999,0,1.659454,0.0,-0.181855,0.416452,-1.654375,0.56463,1.384684,-0.020165,0.477109,0,3,12,0.0,0.99,0.9927,0.9837,0.9868,1467,1.008164,0.736172,1.52875,53.384941,0,1.379019,-0.96875,-0.324281,0.453027,-1.621909,-0.181855,1.659454,0.020206,-0.616286,0,3,13,0.0,close_above_ubb,1.0,1,1,1,0,0,-0.0007190000000000252,-0.001919000000000004,0.0011999999999999789,0.15189873417721217,153,40.0,1,0,1
broad_v3,154,2000-02-17 20:00:00,0.9867,2000-02-17 12:00:00,2000-02-17 16:00:00,2000-02-17 20:00:00,2,EURUSD,0.9916,0.9958,0.9898,0.9898,1764,1.014776,0.894382,1.638509,59.621999,0,1.659454,0.0,-0.181855,0.416452,-1.654375,0.56463,1.384684,-0.020165,0.477109,0,3,12,0.0,0.99,0.9927,0.9837,0.9868,1467,1.008164,0.736172,1.52875,53.384941,0,1.379019,-0.96875,-0.324281,0.453027,-1.621909,-0.181855,1.659454,0.020206,-0.616286,0,3,13,0.0,0.9867,0.9892,0.9857,0.9878,751,1.010299,0.78954,1.564708,55.072088,0,0.73179,-0.909091,0.111359,0.445551,-1.581292,-0.324281,1.379019,-0.010134,0.203314,0,3,14,0.0,high_touch_ubb,0.8,0,1,0,0,1,0.0017019999999999813,-0.004298000000000024,0.0041999999999999815,0.6999999999999963,157,-30.0,0,1,0
broad_v3,174,2000-02-23 00:00:00,1.0038,2000-02-22 16:00:00,2000-02-22 20:00:00,2000-02-23 00:00:00,3,EURUSD,1.0013,1.0077,1.0007,1.0068,1435,1.024153,1.203399,2.494357,77.360176,0,1.489362,-0.109091,0.546285,0.438503,-1.115961,0.259585,1.601102,-0.029952,0.310746,0,0,32,0.0,1.0067,1.0081,1.0024,1.0039,789,1.026503,0.993794,2.782199,70.688452,0,0.848752,-0.535714,-0.278912,0.448913,-1.069579,0.546285,1.489362,-0.009932,0.169881,0,0,33,0.0,1.0038,1.007,1.0034,1.0069,297,1.02833,1.00507,3.125932,73.257815,0,0.327489,-0.129032,0.307876,0.441144,-1.012464,-0.278912,0.848752,-0.009961,0.099761,0,0,34,0.0,close_above_ubb,1.0,1,1,1,0,0,-0.0050200000000000244,-0.005920000000000147,0.0009000000000001229,0.128571428571444,174,-30.0,0,1,0
